origin_location_id,destination_location_id,section_of_day,mean_distance,count_trips,origin_code,destination_code,origin_lat,destination_lat,origin_lon,destination_lon
64,18,afternoon,3.7,11,64,18,1.376684679,1.334549778,103.7537352,103.9615134
2401,1931,afternoon,1.9,11,28389,21609,1.3464621,1.3377516,103.72147,103.72102
6810,4111,morning,1.8,11,64009,62251,1.3706069,1.377159,103.89267,103.90013
3125,3159,morning,1.0,10,46661,46861,1.4375923,1.4351557,103.79229,103.79998
38,12,morning,11.0,12,38,12,1.327717173,1.440585001,103.6784167,103.8009982
103,101,afternoon,2.7,40,103,101,1.299550746,1.26547264,103.8568623,103.821446
37,38,morning,2.0,7,37,38,1.323979969,1.327717173,103.9299587,103.6784167
5697,6927,evening,1.2,9,65389,65009,1.402257,1.4037063,103.91007,103.902245
4081,4269,morning,0.9,13,64101,66481,1.3721212,1.3791866,103.87654,103.87831
3573,3511,morning,1.9,10,54339,53391,1.3678447,1.354443,103.85058,103.84696
6580,4527,morning,1.4,11,96131,76099,1.3463917,1.3502636,103.95526,103.95249
4945,4863,afternoon,2.0,24,84569,84031,1.3279698,1.3242829,103.92011,103.93004
3160,3126,morning,1.2,11,46869,46669,1.4350767,1.4374093,103.800545,103.791824
4293,5539,afternoon,2.2,15,67119,65809,1.3905083,1.39121,103.90324,103.88631
6,21,evening,16.5,11,6,21,1.397535018,1.294860933,103.7474307,103.8058913
5163,4653,evening,3.1,12,96121,78051,1.3471936,1.3662531,103.95776,103.96118
6827,5425,afternoon,1.9,4,77009,78261,1.373564,1.3786583,103.95048,103.96062
134,131,afternoon,1.8,8,134,131,1.325883209,1.284359578,103.8073292,103.8434242
6597,3374,morning,0.5,10,52009,52131,1.3320209,1.3322071,103.846924,103.8442
5184,4979,afternoon,2.3,11,96251,85099,1.340267,1.3268443,103.95138,103.94646
1296,1220,evening,3.1,8,10321,9048,1.2942833,1.3038669,103.81588,103.83413
1211,1297,morning,3.9,10,8121,10329,1.3002757,1.2936467,103.838776,103.81597
104,105,evening,1.5,16,104,105,1.293462633,1.326076883,103.7846438,103.8893356
4246,4051,afternoon,2.7,41,66341,63341,1.3711419,1.367514,103.86525,103.88883
5819,3631,morning,6.1,8,59009,55031,1.4284,1.3894477,103.8361,103.843605
4654,5164,afternoon,3.0,12,78059,96129,1.3667761,1.3474584,103.961136,103.957954
3841,3868,morning,1.6,13,59239,59409,1.4356078,1.4266388,103.836845,103.846405
