origin_location_id,destination_location_id,section_of_day,mean_distance,count_trips,origin_code,destination_code,origin_lat,destination_lat,origin_lon,destination_lon,origin_area_code,origin_area_name,origin_region_name,origin_location_id_1,destination_area_code,destination_area_name,destination_region_name,destination_location_id_1
21,27,night,8.2,13,21,27,1.315302,1.33884,103.765244,103.705546,kml_7,CLEMENTI,WEST REGION,21,kml_10,JURONG WEST,WEST REGION,27
5549,5547,evening,0.7,24,65359,65309,1.405523,1.404944,103.90435,103.909134,kml_18,PUNGGOL,NORTH-EAST REGION,5549,kml_18,PUNGGOL,NORTH-EAST REGION,5547
6815,4236,morning,3.28,26,66009,66271,1.3504661,1.3639833,103.87169,103.86579,kml_28,SERANGOON,NORTH-EAST REGION,6815,kml_28,SERANGOON,NORTH-EAST REGION,4236
3564,4214,morning,1.8,8,54291,66101,1.3691887,1.3709404,103.858864,103.87326,kml_19,ANG MO KIO,NORTH-EAST REGION,3564,kml_28,SERANGOON,NORTH-EAST REGION,4214
3892,3547,morning,8.7,10,59559,54211,1.4251177,1.3686122,103.82822,103.83635,kml_55,YISHUN,NORTH REGION,3892,kml_19,ANG MO KIO,NORTH-EAST REGION,3547
6564,4303,morning,3.1,12,67561,67171,1.3954583,1.387312,103.876976,103.89898,kml_27,SENGKANG,NORTH-EAST REGION,6564,kml_27,SENGKANG,NORTH-EAST REGION,4303
3550,3531,morning,0.9,11,54229,54069,1.3696058,1.36692,103.839935,103.83405,kml_19,ANG MO KIO,NORTH-EAST REGION,3550,kml_21,BISHAN,CENTRAL REGION,3531
4526,4556,morning,1.3,9,76091,76241,1.3507164,1.358458,103.95275,103.95917,kml_32,TAMPINES,EAST REGION,4526,kml_32,TAMPINES,EAST REGION,4556
1814,1673,evening,1.5,4,20299,17161,1.310928,1.3124099,103.758575,103.76685,kml_7,CLEMENTI,WEST REGION,1814,kml_7,CLEMENTI,WEST REGION,1673
5,32,morning,8.0,8,5,32,1.332702,1.307167,103.847809,103.863007,kml_35,TOA PAYOH,CENTRAL REGION,5,kml_11,KALLANG,CENTRAL REGION,32
3806,3844,morning,2.0,9,59051,59251,1.4196827,1.4366913,103.8343,103.83369,kml_55,YISHUN,NORTH REGION,3806,kml_55,YISHUN,NORTH REGION,3844
4305,6159,evening,2.5,11,67179,67559,1.387414,1.3954939,103.897995,103.88094,kml_27,SENGKANG,NORTH-EAST REGION,4305,kml_27,SENGKANG,NORTH-EAST REGION,6159
3560,3616,morning,1.6,8,54271,54609,1.3699633,1.3593578,103.85357,103.85529,kml_19,ANG MO KIO,NORTH-EAST REGION,3560,kml_19,ANG MO KIO,NORTH-EAST REGION,3616
2988,6462,morning,3.8,7,45339,44489,1.3989819,1.3818253,103.74603,103.74531,kml_6,CHOA CHU KANG,WEST REGION,2988,kml_6,CHOA CHU KANG,WEST REGION,6462
2323,4857,afternoon,1.5,2,27381,27469,1.3481479,1.3530719,103.69864,103.704865,kml_10,JURONG WEST,WEST REGION,2323,kml_10,JURONG WEST,WEST REGION,4857
6772,2347,morning,4.1,1,17009,28071,1.3149158,1.3376503,103.76412,103.739044,kml_7,CLEMENTI,WEST REGION,6772,kml_9,JURONG EAST,WEST REGION,2347
3530,3551,afternoon,1.1,11,54061,54231,1.367288,1.3696601,103.83404,103.84194,kml_19,ANG MO KIO,NORTH-EAST REGION,3530,kml_19,ANG MO KIO,NORTH-EAST REGION,3551
6099,4151,morning,2.0,10,67461,64489,1.3857527,1.3748877,103.89121,103.88068,kml_27,SENGKANG,NORTH-EAST REGION,6099,kml_8,HOUGANG,NORTH-EAST REGION,4151
3466,2638,morning,9.6,11,53159,42041,1.3596866,1.334425,103.841736,103.78689,kml_21,BISHAN,CENTRAL REGION,3466,kml_3,BUKIT TIMAH,CENTRAL REGION,2638
2414,1896,morning,3.3,6,28461,21429,1.3453324,1.347402,103.732056,103.710594,kml_9,JURONG EAST,WEST REGION,2414,kml_10,JURONG WEST,WEST REGION,1896
1928,1932,morning,0.6,8,21591,21611,1.334761,1.3383644,103.72243,103.71932,kml_10,JURONG WEST,WEST REGION,1928,kml_10,JURONG WEST,WEST REGION,1932
3423,6794,afternoon,3.3,2,52419,52009,1.3280331,1.3320209,103.85392,103.846924,kml_15,NOVENA,CENTRAL REGION,3423,kml_35,TOA PAYOH,CENTRAL REGION,6794
1275,1476,morning,1.8,13,10209,13051,1.2895464,1.2933431,103.81673,103.82636,kml_1,BUKIT MERAH,CENTRAL REGION,1275,kml_33,TANGLIN,CENTRAL REGION,1476
5299,6237,afternoon,2.3,12,44699,44799,1.388053,1.383387,103.771545,103.760956,kml_2,BUKIT PANJANG,WEST REGION,5299,kml_2,BUKIT PANJANG,WEST REGION,6237
6845,3397,afternoon,1.35,4,52009,52271,1.3320209,1.3368311,103.846924,103.84975,kml_35,TOA PAYOH,CENTRAL REGION,6845,kml_35,TOA PAYOH,CENTRAL REGION,3397
6889,5808,morning,2.29,9,44009,44581,1.385869,1.3753228,103.74579,103.74031,kml_6,CHOA CHU KANG,WEST REGION,6889,kml_6,CHOA CHU KANG,WEST REGION,5808
2655,1785,afternoon,4.5,11,42151,20109,1.3400925,1.3208522,103.77532,103.76207,kml_3,BUKIT TIMAH,CENTRAL REGION,2655,kml_7,CLEMENTI,WEST REGION,1785
6948,5900,morning,1.0,10,44779,44709,1.3842218,1.3885419,103.77021,103.76843,kml_2,BUKIT PANJANG,WEST REGION,6948,kml_2,BUKIT PANJANG,WEST REGION,5900
4171,4133,morning,1.8,11,65029,64381,1.384615,1.3728825,103.90062,103.8917,kml_27,SENGKANG,NORTH-EAST REGION,4171,kml_8,HOUGANG,NORTH-EAST REGION,4133
4085,6636,morning,2.5,10,64121,67491,1.3797414,1.3908753,103.8765,103.874664,kml_28,SERANGOON,NORTH-EAST REGION,4085,kml_27,SENGKANG,NORTH-EAST REGION,6636
6232,5409,afternoon,2.4,11,44791,44691,1.3837245,1.3882626,103.76069,103.77146,kml_2,BUKIT PANJANG,WEST REGION,6232,kml_2,BUKIT PANJANG,WEST REGION,5409
1364,1765,morning,2.6,11,11171,19079,1.3053566,1.3061031,103.7948,103.78013,kml_24,QUEENSTOWN,CENTRAL REGION,1364,kml_24,QUEENSTOWN,CENTRAL REGION,1765
4385,3911,morning,3.6,13,70221,60139,1.3262081,1.3220487,103.885124,103.86629,kml_50,GEYLANG,CENTRAL REGION,4385,kml_11,KALLANG,CENTRAL REGION,3911
3550,3543,morning,0.9,12,54229,54191,1.3696058,1.3744719,103.839935,103.83756,kml_19,ANG MO KIO,NORTH-EAST REGION,3550,kml_19,ANG MO KIO,NORTH-EAST REGION,3543
3954,6993,morning,2.2,9,62059,63239,1.3517014,1.3589191,103.87859,103.88788,kml_8,HOUGANG,NORTH-EAST REGION,3954,kml_8,HOUGANG,NORTH-EAST REGION,6993
3422,3373,morning,0.8,11,52411,52129,1.328301,1.3254467,103.853806,103.85938,kml_15,NOVENA,CENTRAL REGION,3422,kml_15,NOVENA,CENTRAL REGION,3373
5666,4680,morning,0.4,12,78221,78209,1.3741752,1.3713651,103.96123,103.96221,kml_16,PASIR RIS,EAST REGION,5666,kml_16,PASIR RIS,EAST REGION,4680
1922,1928,afternoon,0.7,20,21561,21591,1.3288932,1.334761,103.72274,103.72243,kml_10,JURONG WEST,WEST REGION,1922,kml_10,JURONG WEST,WEST REGION,1928
45,1,night,13.5,15,45,1,1.437094,1.381905,103.786484,103.844818,kml_54,WOODLANDS,NORTH REGION,45,kml_19,ANG MO KIO,NORTH-EAST REGION,1
3912,4382,afternoon,3.8,12,60141,70191,1.3225875,1.327229,103.86385,103.88794,kml_11,KALLANG,CENTRAL REGION,3912,kml_50,GEYLANG,CENTRAL REGION,4382
61,57,morning,2.2,12,61,57,1.33935,1.382431,103.87079,103.892747,kml_2,BUKIT PANJANG,WEST REGION,61,kml_2,BUKIT PANJANG,WEST REGION,57
4580,4547,morning,0.7,10,76409,76199,1.3548467,1.3566002,103.9508,103.94535,kml_32,TAMPINES,EAST REGION,4580,kml_32,TAMPINES,EAST REGION,4547
6596,4929,morning,1.2,10,84639,84469,1.3385714,1.3375152,103.929375,103.91973,kml_20,BEDOK,EAST REGION,6596,kml_20,BEDOK,EAST REGION,4929
4446,4436,evening,0.7,13,72079,72029,1.3320152,1.330864,103.91201,103.906555,kml_20,BEDOK,EAST REGION,4446,kml_20,BEDOK,EAST REGION,4436
1,45,morning,13.5,14,1,45,1.381905,1.437094,103.844818,103.786484,kml_19,ANG MO KIO,NORTH-EAST REGION,1,kml_54,WOODLANDS,NORTH REGION,45
4679,5614,morning,0.5,11,78201,78229,1.371347,1.3741114,103.96206,103.96094,kml_16,PASIR RIS,EAST REGION,4679,kml_16,PASIR RIS,EAST REGION,5614
4546,4578,morning,0.4,11,76191,76399,1.3569438,1.3586226,103.94477,103.947235,kml_32,TAMPINES,EAST REGION,4546,kml_32,TAMPINES,EAST REGION,4578
4416,4445,morning,1.1,13,71091,72071,1.3307338,1.3321917,103.90373,103.91184,kml_20,BEDOK,EAST REGION,4416,kml_20,BEDOK,EAST REGION,4445
6153,3742,morning,1.5,10,58251,58019,1.4480315,1.4408511,103.818954,103.82473,kml_26,SEMBAWANG,NORTH REGION,6153,kml_26,SEMBAWANG,NORTH REGION,3742
3911,3322,afternoon,3.0,8,60139,50249,1.3220487,1.317187,103.86629,103.857,kml_11,KALLANG,CENTRAL REGION,3911,kml_11,KALLANG,CENTRAL REGION,3322
4813,5033,morning,1.1,13,83151,92141,1.31488,1.3093954,103.90912,103.91428,kml_20,BEDOK,EAST REGION,4813,kml_20,BEDOK,EAST REGION,5033
5034,4811,afternoon,1.2,13,92149,83141,1.3092806,1.3176361,103.914345,103.90845,kml_20,BEDOK,EAST REGION,5034,kml_20,BEDOK,EAST REGION,4811
6207,6208,morning,0.3,6,22501,22511,1.337692,1.3374618,103.70297,103.700294,kml_10,JURONG WEST,WEST REGION,6207,kml_10,JURONG WEST,WEST REGION,6208
1291,1289,morning,0.3,8,10299,10289,1.292335,1.29187,103.81146,103.81441,kml_24,QUEENSTOWN,CENTRAL REGION,1291,kml_24,QUEENSTOWN,CENTRAL REGION,1289
4322,4319,morning,1.1,11,67261,67249,1.3865874,1.3937657,103.894646,103.898506,kml_27,SENGKANG,NORTH-EAST REGION,4322,kml_27,SENGKANG,NORTH-EAST REGION,4319
6149,3845,morning,3.8,9,47611,59259,1.4438871,1.4371679,103.80622,103.8338,kml_54,WOODLANDS,NORTH REGION,6149,kml_55,YISHUN,NORTH REGION,3845
4134,6493,morning,5.1,6,64389,65169,1.3731381,1.3964573,103.89157,103.909325,kml_8,HOUGANG,NORTH-EAST REGION,4134,kml_18,PUNGGOL,NORTH-EAST REGION,6493
4856,2405,morning,2.3,7,27459,28409,1.3514507,1.3508115,103.70399,103.71794,kml_10,JURONG WEST,WEST REGION,4856,kml_10,JURONG WEST,WEST REGION,2405
4434,6129,morning,9.2,5,72019,50037,1.3288463,1.3210996,103.905464,103.84224,kml_20,BEDOK,EAST REGION,4434,kml_15,NOVENA,CENTRAL REGION,6129
3644,3525,morning,1.5,6,55119,54039,1.3772854,1.3709179,103.837845,103.845634,kml_19,ANG MO KIO,NORTH-EAST REGION,3644,kml_19,ANG MO KIO,NORTH-EAST REGION,3525
48,12,evening,23.1,3,48,12,1.397567,1.283931,103.747339,103.851461,kml_6,CHOA CHU KANG,WEST REGION,48,kml_37,DOWNTOWN CORE,CENTRAL REGION,12
1933,1923,afternoon,1.8,9,21619,21569,1.3379351,1.328572,103.71816,103.7229,kml_10,JURONG WEST,WEST REGION,1933,kml_10,JURONG WEST,WEST REGION,1923
4767,5017,morning,2.7,12,82032,92061,1.3177642,1.305853,103.8972,103.9106,kml_50,GEYLANG,CENTRAL REGION,4767,kml_20,BEDOK,EAST REGION,5017
2834,2696,morning,2.5,10,44069,43089,1.3859202,1.3670566,103.75718,103.76608,kml_2,BUKIT PANJANG,WEST REGION,2834,kml_2,BUKIT PANJANG,WEST REGION,2696
5057,4769,afternoon,2.0,13,92271,82049,1.30611,1.3163418,103.90953,103.89892,kml_49,MARINE PARADE,CENTRAL REGION,5057,kml_50,GEYLANG,CENTRAL REGION,4769
2754,2741,morning,1.34,7,43419,43341,1.3515552,1.349722,103.749985,103.741394,kml_23,BUKIT BATOK,WEST REGION,2754,kml_23,BUKIT BATOK,WEST REGION,2741
2012,1895,morning,1.4,9,22349,21421,1.3452054,1.3472031,103.7008,103.71033,kml_10,JURONG WEST,WEST REGION,2012,kml_10,JURONG WEST,WEST REGION,1895
3421,3308,morning,0.9,13,52409,50169,1.3280197,1.3264741,103.85105,103.84421,kml_15,NOVENA,CENTRAL REGION,3421,kml_15,NOVENA,CENTRAL REGION,3308
3307,3420,afternoon,0.9,11,50161,52401,1.326657,1.3283019,103.84366,103.85083,kml_15,NOVENA,CENTRAL REGION,3307,kml_15,NOVENA,CENTRAL REGION,3420
